RA,DEC,x,y,F814W,F475W,C,field,M_err,C_err
49.45766217,41.33235211,256.578171,1526.863865,26.16775203,31.65968622,5.491934197,V14WFC3,0.123457499,0.292917324
49.44771007,41.33224174,584.4383089,2121.567196,23.47006678,27.56762163,4.097554848,V14WFC3,0.016282602,0.026521984
49.42284604,41.33230639,1375.950601,3622.044491,26.33125567,29.85351877,3.5222631,V14WFC3,0.139585649,0.338819606
49.44437315,41.33223003,692.3245647,2322.057937,26.42669749,29.10405726,2.677359765,V14WFC3,0.149957132,0.368870487
49.41507559,41.33209459,1641.837891,4081.12107,25.73841166,30.55978945,4.821377785,V14WFC3,0.089432854,0.199860986
49.44611594,41.33208772,647.8852915,2211.010782,26.39198756,30.56256014,4.170572579,V14WFC3,0.146098988,0.357645115
49.41993073,41.33204017,1490.693858,3786.310501,26.01353907,30.49494921,4.481410134,V14WFC3,0.109957319,0.255337205
49.44926787,41.3320347,551.115491,2018.900516,26.35128856,28.90611651,2.55482795,V14WFC3,0.141701379,0.344917186
49.43973456,41.33195865,862.7472815,2589.876636,26.14819407,30.31004709,4.16185302,V14WFC3,0.121657547,0.287860716
49.45155661,41.33194412,485.0210376,1877.181073,26.37848544,29.30084246,2.922357018,V14WFC3,0.144625133,0.353371327
49.42575594,41.3319281,1313.082039,3430.611736,25.68647647,29.08026934,3.39379287,V14WFC3,0.086012092,0.190829609
49.43744497,41.33192408,938.889527,2726.315714,26.42102122,30.11721308,3.696191857,V14WFC3,0.149319294,0.367010943
49.461029,41.33186978,187.3272784,1303.494882,26.35051989,29.44003313,3.089513238,V14WFC3,0.14161961,0.34468121
49.44106296,41.33184711,829.124285,2505.100468,25.87219119,27.68088068,1.808689492,V14WFC3,0.098884105,0.225142663
49.43703555,41.33179657,962.2376009,2745.53636,26.15695262,31.50768572,5.350733101,V14WFC3,0.122460344,0.290114309
49.41295866,41.33171336,1740.223999,4192.394009,24.69097209,28.53539423,3.844422143,V14WFC3,0.040728326,0.078651103
49.43705615,41.33167479,971.346531,2739.098371,26.0313518,30.24138697,4.210035164,V14WFC3,0.111438021,0.25941908
49.44620365,41.33164445,680.6305087,2186.8082,26.18381953,30.30825434,4.124434807,V14WFC3,0.124956127,0.297137886
49.43264316,41.33159018,1119.535933,3001.313693,25.89153361,30.46083849,4.569304879,V14WFC3,0.100330878,0.229053595
49.46338089,41.33157004,135.9640678,1149.049799,26.08068156,31.19985186,5.119170296,V14WFC3,0.115643509,0.271067038
49.4455055,41.33156865,709.0867371,2225.624724,26.2403934,30.15298563,3.912592232,V14WFC3,0.130379088,0.312488452
49.4427042,41.33155043,800.3266259,2393.579742,25.92982554,30.29864473,4.368819192,V14WFC3,0.103257766,0.236997525
49.4470411,41.33143313,670.7411846,2127.345866,25.83534312,29.79871058,3.963367455,V14WFC3,0.096185423,0.21787601
49.44006452,41.33138252,898.3886116,2545.414437,26.31608462,29.81714953,3.501064904,V14WFC3,0.138004437,0.334273695
49.42740183,41.33129443,1311.188438,3304.427987,26.28637194,30.6969813,4.410609353,V14WFC3,0.13495932,0.325546421
49.44979077,41.33122734,599.1163569,1952.942565,26.37944484,30.19086054,3.811415703,V14WFC3,0.144729366,0.353673309
49.45384624,41.33117931,472.9735521,1706.627035,26.51193881,29.96268206,3.450743249,V14WFC3,0.159869935,0.397955914
49.42921289,41.33115696,1264.194211,3189.464567,26.25568652,29.16731943,2.911632912,V14WFC3,0.131885021,0.316772525
49.44862706,41.33112469,644.6496427,2018.654298,26.12360453,29.94383493,3.820230401,V14WFC3,0.119431722,0.281626901
49.4484488,41.33109873,652.4458734,2028.283395,26.26473307,28.85193247,2.587199395,V14WFC3,0.132784021,0.319334339
49.4211722,41.33109061,1527.106749,3671.014764,26.05112719,30.39627237,4.34514518,V14WFC3,0.113105239,0.264027187
49.4525068,41.33108474,523.4950268,1783.265442,25.38836741,30.64266985,5.254302437,V14WFC3,0.068760254,0.146343406
49.42273335,41.3310373,1481.374779,3574.692829,26.28244471,30.58758745,4.305142739,V14WFC3,0.134561896,0.324410084
49.42084348,41.33097915,1546.579281,3686.062894,24.64657664,28.44209978,3.795523141,V14WFC3,0.039392897,0.075602824
49.44066825,41.33089396,918.2324752,2488.198165,25.83210063,27.23139788,1.399297249,V14WFC3,0.095951504,0.217247911
49.44564384,41.33084446,762.7433835,2186.38222,26.09775424,30.34221186,4.244457619,V14WFC3,0.117135668,0.275218968
49.44145039,41.33081817,899.2468502,2437.851019,25.99951815,28.96576944,2.96625129,V14WFC3,0.108805667,0.252169467
49.41543636,41.33079216,1734.776576,4003.832601,26.15472102,31.21384562,5.059124596,V14WFC3,0.122255297,0.289538445
49.44639173,41.33072907,748.0293926,2136.408733,26.02035403,31.08234385,5.061989815,V14WFC3,0.110521482,0.256891245
49.45461194,41.33071583,485.6040965,1640.722663,26.57730365,29.34045626,2.763152611,V14WFC3,0.167912944,0.421803513
49.45715256,41.33071013,404.6165895,1487.456853,25.87612986,29.89145182,4.015321953,V14WFC3,0.099177008,0.22593359
49.43399066,41.33065237,1151.591936,2880.126651,25.96306872,30.5138061,4.550737374,V14WFC3,0.105867899,0.244117133
49.44122398,41.33065722,919.413797,2444.619513,26.52546763,28.90334009,2.37787246,V14WFC3,0.161502386,0.402778499
49.43631962,41.33061356,1080.078532,2738.178804,25.96736026,26.88720568,0.919845421,V14WFC3,0.106209628,0.245051693
